Date,GCF,Hurdle
12/31/2017,-127852500,0
01/31/2018,0,128690934.472684
02/28/2018,-5260000,129452955.040112
03/31/2018,-2525000,135596379.184518
04/30/2018,-165883000,138997844.095289
05/31/2018,-5000,306880199.678875
06/30/2018,0,308832574.59463
07/31/2018,-301393763.097475,310857844.939972
08/31/2018,0,616266647.666195
09/30/2018,-150722750,620177237.725075
10/31/2018,0,775955415.852801
11/30/2018,-150722750,780879329.140757
12/31/2018,-150686868.743511,937711363.652014
01/31/2019,0,1095535758.82675
02/28/2019,-150717750,1102022779.71909
03/31/2019,0,1260955784.37148
04/30/2019,0,1268957322.624
05/31/2019,-150684225.78,1277278924.18558
06/30/2019,-150661121.281429,1437024452.43887
07/31/2019,-150590715.399133,1598097339.75373
08/31/2019,0,1760155647.47535
09/30/2019,-150699250,1771324915.19925
10/31/2019,0,1934628465.6035
11/30/2019,-301398500,1946904870.42577
12/31/2019,-147879350.657316,2263047353.14661
01/31/2020,0,2426737142.07915
02/29/2020,0,2441621402.99764
03/31/2020,-451572750,2457633131.77507
04/30/2020,82334.673260957,2927666578.3641
05/31/2020,0,2946782832.31129
06/30/2020,0,2965481977.71101
07/31/2020,0,2984929093.08408
08/31/2020,-210726950,3004503739.25962
09/30/2020,50468.7503556188,3235633301.04794
10/31/2020,101317.059965058,3256801222.12823
11/30/2020,0,3277365664.47897
12/31/2020,0,3298858058.86069
01/31/2021,210776277.45,3320491396.62913
02/28/2021,0,3128128746.28789
03/31/2021,0,3148642470.8993
04/30/2021,0,3168622539.57946
05/31/2021,301017500,3189401815.44897
06/30/2021,401596.139783394,2906712886.42225
07/31/2021,0,2925370374.57197
08/31/2021,0,2944554445.02353
09/30/2021,0,2963239449.93844
10/31/2021,150795244.55,2982671859.20416
11/30/2021,0,2849846609.58927
12/31/2021,0,2868535408.31702
01/31/2022,0,2887346764.9385
02/28/2022,-150473750,2904443677.23614
03/31/2022,-300947500,3074951044.74223
04/30/2022,0,3397320692.66934
05/31/2022,200356172,3419599731.2763
06/30/2022,0,3239671635.18742
07/31/2022,350000000,3260916838.67673
08/31/2022,0,2930006125.35209
09/30/2022,0,2948598812.25094
10/31/2022,235122652.785,2967935210.75942
11/30/2022,0,2750153930.67805
12/31/2022,0,2768188962.1453
01/31/2023,195935543.9875,2786342264.21421
02/28/2023,0,2605745354.66049
03/31/2023,0,2622833379.78618
04/30/2023,156748435.19,2639476867.11416
05/31/2023,0,2499009733.45238
06/30/2023,0,2514867483.75851
07/31/2023,666180849.5575,2531359547.6025
08/31/2023,0,1877410215.75609
09/30/2023,0,1889323535.67041
10/31/2023,156748435.19,1901713391.02997
11/30/2023,0,1756037829.3035
12/31/2023,0,1767553620.16739
01/31/2024,274309761.5825,1779144929.58617
02/29/2024,0,1514064993.06033
03/31/2024,0,1523993968.12195
04/30/2024,117561326.3925,1533664645.0669
05/31/2024,0,1425389878.10233
06/30/2024,0,1434434851.58652
07/31/2024,313496870.38,1443841626.02104
08/31/2024,0,1137757360.08089
09/30/2024,0,1144977128.72909
10/31/2024,274309761.5825,1152485689.72837
11/30/2024,0,883748493.313175
12/31/2024,0,889543962.326108
01/31/2025,313496870.38,895377437.017505
02/28/2025,0,585326069.317096
03/31/2025,0,589164535.942902
04/30/2025,156748435.19,592903146.471361
05/31/2025,0,439014938.068961
06/30/2025,0,441800757.257804
07/31/2025,195935543.9875,444698009.833567
08/31/2025,0,250393806.859149
09/30/2025,0,251982709.22084
10/31/2025,0,253635168.030257
11/30/2025,0,255244638.81768
12/31/2025,0,256918488.79443
01/31/2026,352683979.1775,258603315.588392
02/28/2026,0,0
03/31/2026,0,0
04/30/2026,509432414.3675,0